"","Site_Transect","Nind","NObs","NRep","Site","Transect","Length","Density","Density_km2"
"1","Ambavala_1",0,0,3,"Ambavala",1,1000,0,0
"2","Ambavala_2",0,0,4,"Ambavala",2,1000,0,0
"3","Ambavala_3",0,0,3,"Ambavala",3,1000,0,0
"4","Ambodihasina_1",0,0,4,"Ambodihasina",1,1000,0,0
"5","Ambodihasina_2",0,0,4,"Ambodihasina",2,1000,0,0
"6","Ambodihasina_3",0,0,4,"Ambodihasina",3,1000,0,0
"7","Ambodimandresy_1",0,0,4,"Ambodimandresy",1,1000,0,0
"8","Ambodimandresy_2",1,1,4,"Ambodimandresy",2,1000,1.4433756731379e-05,14.433756731379
"9","Ambodimandresy_3",0,0,4,"Ambodimandresy",3,1000,0,0
"10","Ambodivoara_1",7,5,48,"Ambodivoara",1,860,9.7903388681834e-06,9.7903388681834
"11","Ambodivoara_2",1,1,45,"Ambodivoara",2,1000,1.2830005983448e-06,1.2830005983448
"12","Ambodivoara_3",20,8,41,"Ambodivoara",3,1000,2.81634277685443e-05,28.1634277685443
"13","Ambodivoara_4",5,2,41,"Ambodivoara",4,1000,7.04085694213608e-06,7.04085694213608
"14","Ambodivoara_5",0,0,2,"Ambodivoara",5,1000,0,0
"15","AmbodivohitraKobahina_1",0,0,3,"AmbodivohitraKobahina",1,1000,0,0
"16","AmbodivohitraKobahina_2",0,0,4,"AmbodivohitraKobahina",2,1000,0,0
"17","AmbodivohitraKobahina_3",0,0,3,"AmbodivohitraKobahina",3,1000,0,0
"18","Androfiabe_1",1,1,4,"Androfiabe",1,1175,1.22840482820246e-05,12.2840482820246
"19","Androfiabe_2",0,0,4,"Androfiabe",2,1250,0,0
"20","Androfiabe_3",0,0,4,"Androfiabe",3,1100,0,0
"21","Antanambe_1",0,0,4,"Antanambe",1,1000,0,0
"22","Antanambe_2",0,0,4,"Antanambe",2,1000,0,0
"23","Antanambe_3",0,0,4,"Antanambe",3,1000,0,0
"24","Befamatra_1",0,0,4,"Befamatra",1,635,0,0
"25","Befamatra_2",0,0,4,"Befamatra",2,1065,0,0
"26","Befamatra_3",0,0,3,"Befamatra",3,780,0,0
"27","Betaolana_1",0,0,5,"Betaolana",1,1300,0,0
"28","Betaolana_2",0,0,3,"Betaolana",2,1000,0,0
"29","Betaolana_3",0,0,4,"Betaolana",3,1200,0,0
